Tract,GEOID,Obesity rate,Highlight
Tract 721,36081072100,20.5,Other Queens tracts
Tract 671,36081067100,20.5,Other Queens tracts
Tract 71,36081007100,20.5,Other Queens tracts
Tract 243,36081024300,20.5,Other Queens tracts
Tract 464,36081046400,20.4,Other Queens tracts
Tract 216.01,36081021601,20.4,Other Queens tracts
Tract 1167,36081116700,20.4,Other Queens tracts
Tract 123.01,36081012301,20.3,Other Queens tracts
Tract 291,36081029100,20.3,Other Queens tracts
Tract 1291.03,36081129103,20.3,Other Queens tracts
Tract 95,36081009500,20.3,Other Queens tracts
Tract 1029,36081102900,20.3,Other Queens tracts
Tract 1017,36081101700,20.3,Other Queens tracts
Tract 779.04,36081077904,20.3,Other Queens tracts
Tract 309.03,36081030903,20.3,Other Queens tracts
Tract 1451.01,36081145101,20.3,Other Queens tracts
Tract 51,36081005100,20.2,Other Queens tracts
Tract 922,36081092200,20.2,Other Queens tracts
Tract 472,36081047200,20.2,Other Queens tracts
Tract 1191,36081119100,20.2,Other Queens tracts
Tract 481,36081048100,20.2,Other Queens tracts
Tract 61,36081006100,20.2,Other Queens tracts
Tract 505,36081050500,20.1,Other Queens tracts
Tract 747,36081074700,20.1,Other Queens tracts
Tract 185.02,36081018502,20.0,Other Queens tracts
Tract 849.01,36081084901,20.0,Other Queens tracts
Tract 997.05,36081099705,20.0,Other Queens tracts
Tract 259,36081025900,20.0,Other Queens tracts
Tract 981,36081098100,20.0,Other Queens tracts
Tract 683,36081068300,20.0,Other Queens tracts
Tract 289,36081028900,19.9,Other Queens tracts
Tract 1123,36081112300,19.9,Other Queens tracts
Tract 1.01,36081000101,19.9,Other Queens tracts
Tract 769.01,36081076901,19.9,Other Queens tracts
Tract 267,36081026700,19.9,Other Queens tracts
Tract 44.01,36081004401,19.9,Other Queens tracts
Tract 1447,36081144700,19.8,Other Queens tracts
Tract 797.02,36081079702,19.8,Other Queens tracts
Tract 53,36081005300,19.8,Other Queens tracts
Tract 1085,36081108500,19.8,Other Queens tracts
Tract 703,36081070300,19.8,Other Queens tracts
Tract 1129,36081112900,19.8,Other Queens tracts
Tract 739,36081073900,19.7,Other Queens tracts
Tract 261,36081026100,19.7,Other Queens tracts
Tract 741,36081074100,19.7,Other Queens tracts
Tract 889.02,36081088902,19.6,Other Queens tracts
Tract 1551.04,36081155104,19.6,Other Queens tracts
Tract 556,36081055600,19.6,Other Queens tracts
Tract 1617,36081161700,19.6,Other Queens tracts
Tract 1417,36081141700,19.6,Other Queens tracts
Tract 1133,36081113300,19.5,Other Queens tracts
Tract 697.02,36081069702,19.5,Other Queens tracts
Tract 1193,36081119300,19.4,Other Queens tracts
Tract 471,36081047100,19.4,Other Queens tracts
Tract 63,36081006300,19.4,Other Queens tracts
Tract 997.01,36081099701,19.3,Other Queens tracts
Tract 452,36081045200,19.3,Other Queens tracts
Tract 459,36081045900,19.3,Other Queens tracts
Tract 757.01,36081075701,19.3,Other Queens tracts
Tract 1621,36081162100,19.3,Other Queens tracts
Tract 737,36081073700,19.3,Other Queens tracts
Tract 939,36081093900,19.2,Other Queens tracts
Tract 729,36081072900,19.2,Other Queens tracts
Tract 7.01,36081000701,19.2,Other Queens tracts
Tract 1199,36081119900,19.1,Other Queens tracts
Tract 863,36081086300,19.1,Other Queens tracts
Tract 476,36081047600,19.1,Other Queens tracts
